Date,GOLDBEES.NS,LIQUIDBEES.NS,MID150BEES.NS,MON100.NS,NIFTYBEES.NS
2021-04-27,41.08000183105469,831.9419555664062,91.62000274658203,103.23300170898438,156.8300018310547
2021-04-28,40.63999938964844,831.9419555664062,93.01000213623047,102.97100067138672,158.89999389648438
2021-04-29,40.720001220703125,831.9505615234375,93.0199966430664,102.6709976196289,159.10000610351562
2021-04-30,40.59000015258789,833.5756225585938,92.08999633789062,102.0770034790039,157.0
2021-05-03,40.689998626708984,833.5756225585938,92.4000015258789,101.95999908447266,156.97000122070312
2021-05-04,40.75,833.5756225585938,92.33999633789062,101.15599822998047,155.5500030517578
2021-05-05,40.529998779296875,833.5756225585938,92.6500015258789,99.66000366210938,156.80999755859375
2021-05-06,40.81999969482422,833.5673828125,93.9000015258789,98.77400207519531,157.5399932861328
2021-05-07,41.2400016784668,833.5756225585938,93.52999877929688,99.18499755859375,158.52999877929688
2021-05-10,41.459999084472656,833.5756225585938,93.97000122070312,99.33100128173828,159.69000244140625
2021-05-11,41.400001525878906,833.5673828125,94.91999816894531,96.69599914550781,158.94000244140625
2021-05-12,41.38999938964844,833.5756225585938,94.38999938964844,96.41200256347656,157.69000244140625
2021-05-14,41.4900016784668,833.5756225585938,93.13999938964844,96.27300262451172,157.47000122070312
2021-05-17,41.83000183105469,833.5756225585938,94.08000183105469,96.58699798583984,159.52000427246094
2021-05-18,42.09000015258789,833.5673828125,96.0,96.86199951171875,161.3699951171875
2021-05-19,41.939998626708984,833.5673828125,95.7699966430664,95.12899780273438,160.6699981689453
2021-05-20,42.130001068115234,833.5756225585938,95.69999694824219,95.29000091552734,159.63999938964844
2021-05-21,42.16999816894531,833.5756225585938,96.43000030517578,97.36199951171875,162.10000610351562
2021-05-24,42.20000076293945,833.5673828125,97.2699966430664,97.15699768066406,162.42999267578125
2021-05-25,42.119998931884766,833.5756225585938,97.41999816894531,98.43399810791016,162.52999877929688
2021-05-26,42.63999938964844,833.5673828125,97.5,98.5530014038086,163.4600067138672
2021-05-27,42.38999938964844,833.5673828125,97.93000030517578,97.8550033569336,164.1199951171875
2021-05-28,42.220001220703125,833.5840454101562,97.95999908447266,98.10299682617188,165.02000427246094
2021-05-31,42.59000015258789,835.0630493164062,97.95999908447266,98.18599700927734,166.7899932861328
2021-06-01,42.83000183105469,835.0713500976562,98.12999725341797,98.30599975585938,166.8800048828125
2021-06-02,42.56999969482422,835.0713500976562,98.91999816894531,98.45999908447266,167.2899932861328
2021-06-03,42.5099983215332,835.0713500976562,99.86000061035156,98.0459976196289,168.1699981689453
2021-06-04,42.119998931884766,835.0713500976562,100.86000061035156,97.64700317382812,168.14999389648438
2021-06-07,42.279998779296875,835.0713500976562,101.56999969482422,98.68599700927734,168.6300048828125
2021-06-08,42.40999984741211,835.0713500976562,102.86000061035156,99.3740005493164,168.57000732421875
2021-06-09,42.5,835.0630493164062,101.9000015258789,99.12300109863281,167.58999633789062
2021-06-10,42.349998474121094,835.0630493164062,103.76000213623047,98.74700164794922,168.60000610351562
2021-06-11,42.630001068115234,835.0630493164062,103.72000122070312,100.66400146484375,169.3300018310547
