Date,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS
2014-01-02,-0.012252670921864772,-0.023108128497675184,-0.015526473586206402,0.0026210685430012592,0.006362484569148341
2014-01-03,0.009284326732343029,-0.0006348939419112964,-0.012285796841961405,0.010194152899728026,0.025472969401228118
2014-01-06,-0.0021111243888362052,0.0028592877246571557,-0.010760608171916486,0.014749362082200568,0.007829937910398321
2014-01-07,0.004080344340458675,0.0033265864684794977,-0.015030247817831133,0.010114399609470803,-0.014936008996302319
2014-01-08,0.0004515855891720211,0.0004734274188815668,0.008253190656793752,0.01127563437101009,0.012012384737671855
2014-01-09,-0.002632806575868174,-0.0039450748856937334,0.0019433181761356888,0.010151475471693594,0.00416533741431957
2014-01-10,-0.0013575164193874167,0.022180234909330743,0.008757724484831808,0.003953831270860908,0.017373327437095964
2014-01-13,0.01631295248182596,0.0088343408813929,0.025927514999331658,-0.011568707387146437,0.03851551724248159
2014-01-14,-0.0008175597030565251,-0.003072704277831795,0.0012496309098388725,0.001991955254107669,-0.017731111577757863
2014-01-15,0.012271323297518677,0.013561525867528568,0.0044811461016194265,-8.252431480482159e-05,0.011539961116809216
2014-01-16,-0.011020440116019214,-0.010187122049740593,0.0007903291300368487,-0.01781289419399068,-0.0014020905447452714
2014-01-17,-0.011960359984120594,-0.0019968531534704237,-0.0015796537926114906,0.0021088075775599346,-0.05839699005894128
2014-01-20,0.0075938679126172914,0.016469101172271294,-0.01695400011492365,-0.007743973203622634,0.05655097291807487
2014-01-21,0.00902912749366358,-0.0034828960789112795,-0.007703352459381474,-0.015354511284711103,-0.024762948010192187
2014-01-22,0.0014790367389214687,-0.005166319731248481,0.010891545452027085,0.02946498974607592,-0.0027404901035685825
2014-01-23,0.0035446250858541806,0.0048876189404967185,-0.0076222315471971,0.019917750659335764,-0.009498481353050314
2014-01-24,-0.008977098830561525,-0.014287494731694217,0.0021368573458921958,-0.009436339714365638,-0.0016644513784396242
2014-01-27,-0.035936835436585546,-0.0001541710081855996,-0.028237301223442146,-0.009608749948841422,-0.006727196181151585
2014-01-28,-0.0073170440338791165,0.007556854684196201,0.0020162740164899606,-0.02659744492799687,-0.007737258343516795
2014-01-29,0.0015516746481079036,-0.005051239106182659,-0.00976514988407251,0.01641156936757948,-0.0011523013897579704
2014-01-30,-0.02114794187204938,-0.0012307398687820825,-0.01386574665043172,0.003634913365452297,0.0035298377341761444
2014-01-31,-0.005223220799720374,0.0015402660356396147,0.007454692141534602,-0.008254774943753262,0.010574072441180915
2014-02-03,-0.0031821056985723573,-0.014764663167610936,-0.01233226272935306,0.009512617294418213,-0.020793708965007762
2014-02-04,0.00654405471541919,0.014361636101954955,0.0007917722355670342,-0.01102141302459958,-0.01964012343417887
2014-02-05,0.01086276153375021,-0.018313352264678562,-0.005233868789875529,-0.007060910491446526,0.02001035517404981
2014-02-06,0.014981811888034269,0.017557413410074663,-0.0017130938720283373,0.002227788356330862,-0.008726661169309646
2014-02-07,0.001159169104750557,-0.003389064322407487,-0.0017162101271755992,0.028637410336868285,-0.014182415467356657
2014-02-10,-0.0059435326914079045,0.004791997954480154,0.009208702503260113,0.016620789108791723,-0.023712783270193105
2014-02-11,0.0013974692432132674,0.00030763050003890235,-0.020317455533718443,-0.005476974330537399,0.0038928665210311575
2014-02-12,0.0010080201294444535,-0.01399560563444091,0.015709400108903093,0.0045208461728005744,0.0017840516418423658
2014-02-13,-0.020063410600091647,-0.011386821359617216,-0.01283781892048319,0.006955129612960631,0.01344186504562006
2014-02-14,0.014703491198195362,0.009151213829255544,0.018144766237770504,-0.010157504306758436,0.016004402419663277
2014-02-17,0.013399942333751413,0.0009382300342988259,-0.011860669587611339,-0.006485540288302949,-0.0011533221669206561
2014-02-18,0.015375208528676465,-0.009997079005437337,0.001046424678743385,0.007684781722385514,0.0002774037400059548
2014-02-19,0.014612197056953269,-0.0007888457369205071,-0.0011068781687475493,0.022222090825156027,0.014750366296892636
2014-02-20,-0.01089471707824674,-0.015158667404890358,-0.008371735927274138,-0.00585577527671044,-0.003912453868490373
2014-02-21,0.0024896499470974387,0.018438281674576285,0.007511450408978382,-0.007262008879954873,0.0074677287620326105
2014-02-24,0.009933766431894364,0.007714117709352264,0.0010473673968363073,0.008859169230385211,-0.01260361153015277
2014-02-25,0.00014904792247505405,0.005936486694121612,-0.0022157590499432,-0.002497437098506139,0.005050752592732577
2014-02-26,0.0093877153574764,0.021121342011435784,0.00018496778699805816,0.014619094329488602,-0.003083777064235349
2014-02-28,-0.011514702794691356,-0.003346197469588974,-0.013260057473306275,0.026428913558194544,0.042893588812268124
2014-03-03,-0.005077519414977916,0.00473089758146461,0.004312611977535408,-0.03040163975256649,-0.015687122607077497
2014-03-04,0.008255584824073958,0.007442188100736935,0.011887005151423935,-0.009118475454818253,0.0002675815365562606
2014-03-05,-0.0029032549547197695,0.004975300170501296,-0.007318939165713911,0.006942212259400948,0.005020539654056133
2014-03-06,0.008734823083784926,0.0037503652694528267,0.01914486091597767,-0.004328826378286577,-0.004951001717056869
2014-03-07,0.0530639204450456,0.01076067850562823,0.05708570310856964,-0.014010027175210271,-0.005466602484468952
2014-03-10,0.03232815719456239,-0.0075408788398280135,0.01846113273327976,-0.02498774645437729,-0.038523945839674445
2014-03-11,-0.012662298220762591,-0.004767571777046897,-0.012084195832790856,-0.028056880285164176,0.00420033019901922
2014-03-12,0.0005515784947067726,0.020957793763361154,-0.003887119991399124,0.04144782368260991,0.012920443798895898
2014-03-13,0.02315482706239691,0.007038371855316861,0.009410813832840148,-0.051878268424823126,-0.013719027681686313
2014-03-14,-0.013740046510558934,0.01106565088228173,0.007503719643245033,0.015882754491492568,-0.00465169263509968
2014-03-18,0.0025266716252594357,0.025057773116205828,0.011623323227850424,-0.004638930053340595,-0.008203055075787224
2014-03-19,0.006062657444326991,0.010677100016353913,0.007306832670141983,0.010270127742471047,-0.038925714932051214
2014-03-20,-0.011172062956758322,-0.01084235591663718,0.0033219674417366285,0.00837194754209225,0.03373519277388959
2014-03-21,0.004998680231680819,0.005339801912692677,-0.02229564563568065,-0.016604427402350574,0.008917767901283069
2014-03-24,0.022892941615628715,0.008247360437869222,0.022126896654435235,-0.0018953113131656707,0.01203573415111614
2014-03-25,-0.0006660738423800439,0.005961340958624772,-0.028827142844076503,0.0,-0.0027640098226148213
2014-03-26,-0.005465553777935006,-0.010336247889613182,0.013533418460607072,-0.021923101968465586,-0.024759615746844932
2014-03-27,0.000938198745187524,0.002367376061074289,0.010715911269798317,-0.010677632684439442,0.00035831610897441024
2014-03-28,-0.002410352976280228,-0.004028973352035559,0.01709694499204506,0.004727287366759647,0.0037485376702628415
2014-03-31,0.0051681198278856755,-0.015622549300420951,0.015936294750358293,0.020507946676706856,0.014770731890473066
2014-04-01,-0.014289682158706074,-0.0025509489953682296,0.012731623770803946,-0.004610842007219507,0.020415906249360294
2014-04-02,-0.008399878627304402,-0.021593968371390493,0.016550092224649315,0.005506077107953367,-0.0020440180539943453
