Ticker,HDFCBANK.NS,ITC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS
HDFCBANK.NS,10562480.599492388,2228996.062158608,18398748.40808005,2674916.4828155236,43052222.78800813
ITC.NS,2228996.062158608,1145158.4857498626,3960514.7674596906,2095896.6955615843,9123663.268559156
RELIANCE.NS,18398748.40808005,3960514.7674596906,35781934.82659573,7338654.40837802,81990807.7835847
SUNPHARMA.NS,2674916.4828155236,2095896.6955615843,7338654.40837802,10550503.140954645,19914090.5674073
TCS.NS,43052222.78800813,9123663.268559156,81990807.7835847,19914090.5674073,197704814.13587227
