Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,1744.012674939288,1752.9586687529322,1733.169072815313,1749.9315185546875,543035,604.3453274779305,606.19233129956,601.7405948043777,605.529296875,3673698,435.945225034925,440.1990686939243,429.92295623223606,433.31646728515625,5154996,679.0819357370663,683.1528519736394,673.4900624593615,675.3241577148438,14004468,631.561560316586,635.8578974615967,629.4563446264264,633.1511840820312,2112415,506.2132720579284,511.057849296617,503.0309997333167,509.7279357910156,2611808
2020-01-02,1753.048906352569,1764.4346658479283,1744.0125717837414,1751.286865234375,663275,605.7188543538712,609.9811449630853,605.7188543538712,609.38916015625,6137166,434.0811695494636,439.14752619432306,433.50763432020034,435.1326904296875,4933053,676.397899264457,689.3487905881979,676.397899264457,686.8212280273438,17710316,634.9127055572154,636.5452821568949,628.0385663277771,631.3037719726562,5658200,510.1079320042212,513.9076186485729,506.7832061904134,512.815185546875,2776519
2020-01-03,1751.1514104374362,1753.0490187572,1733.846806567205,1741.7083740234375,1598825,607.2342686142049,608.5603376104458,598.4255468849254,600.6987915039062,10855550,435.6106743610621,438.95636609332547,431.5958383383594,435.037109375,5154587,685.79219089493,689.6618336947733,681.3186685693929,687.6487426757812,20984698,630.6163140268093,642.7319623931803,630.6163140268093,641.013427734375,7882938,511.96023447457435,512.0077189566775,503.83841676217105,506.0707092285156,1930883
2020-01-06,1741.6180068215253,1743.470499622082,1727.0695295106875,1730.86474609375,683129,596.720662743602,597.5731439576414,585.3545548818191,587.6987915039062,10890186,433.8900183393128,437.2835295157813,425.04780313914694,429.827392578125,7538915,679.9767186772816,683.5107670428088,670.13493269889,671.70068359375,24519177,641.0992552489884,647.7156233670265,632.8503108716351,634.8695678710938,6519403,503.363517459379,503.45848643518383,494.4342305462513,498.2339172363281,2059404
2020-01-07,1734.2986622156052,1744.9163562528765,1733.1691202967465,1735.60888671875,808935,596.1997455707353,602.143238298382,593.0503748607391,597.0048217773438,14724494,432.0737692892949,435.22827251027087,423.5661120546749,425.4779357910156,4353883,679.5292597584985,686.4632732386915,677.0688284082713,682.0344848632812,16683622,634.1393340585887,638.091943075868,623.0547637452105,625.4607543945312,7899363,502.4135994133614,505.35833342797946,496.8565228018415,500.2762756347656,2111349
2020-01-08,1725.9398857403892,1749.4795811843398,1722.73194287715,1743.4251708984375,1889685,590.5403361902679,597.73890607202,587.2726263307592,595.4420166015625,11332110,423.0881973601392,440.43807078640543,420.9373954471114,438.621826171875,14118818,677.7399630034671,686.440941615489,675.5032015883575,676.912353515625,16047902,622.9258478082336,626.4058699298521,608.6190260970619,617.1257934570312,8639443,494.8142583133085,500.0863123826376,493.0093838131027,498.37646484375,1612378
2020-01-09,1754.4495450793922,1759.6454373461384,1744.9161681889839,1748.575927734375,1544334,599.0885335231053,604.2033046016976,598.1887051911852,602.1195068359375,9546316,447.75080439615203,454.01205145203596,435.2283102843843,439.81671142578125,18180867,688.2974451452224,693.3972440896104,685.0094043047601,692.5025634765625,14982742,620.1332799391682,628.5540897917724,613.7746803355894,625.1599731445312,13521186,503.31589107854813,515.2849369439461,499.3737515820091,514.14501953125,2897598
2020-01-10,1753.862252513372,1768.8625462980085,1745.5036427799075,1765.6998291015625,1003336,608.1341038414974,609.4601728526172,603.871813491343,607.4710693359375,9214580,444.3095310104821,445.40884171022856,434.1768458700119,436.8533935546875,37724966,694.247234586273,696.9537331994524,688.7671661721967,692.3460083007812,12478359,636.2445540339635,638.349769643852,627.6948329522857,634.2682495117188,9341405,516.8523686252406,520.1770945420913,512.2452716176238,519.2271728515625,2355888
2020-01-13,1772.0253090676424,1805.3241817738158,1768.410775035888,1802.61328125,2040089,607.4710117404351,614.0065461154303,604.2979967938983,609.0338745117188,7451568,438.7651599810213,449.56701777468317,434.2245785284127,448.2287292480469,15206224,691.182979891191,697.289325272827,688.2080768341074,690.5790405273438,18282382,653.0430367489955,668.0802119372947,648.7467009809101,664.6860961914062,36952038,521.4119222035846,529.1062629800751,519.2270564223979,527.158935546875,3442869
2020-01-14,1803.2007458940732,1820.7763742883244,1791.363168470993,1815.2191162109375,1610737,610.4547343969623,612.1359943771557,605.0084741599063,610.6915283203125,7886290,448.22873872807065,451.8134380916676,446.03014729060953,448.6589050292969,8238486,688.9237506296278,693.3972733335526,680.8043146862556,684.1818237304688,15816535,661.5928278203634,667.607698553942,659.2298428893147,666.4906616210938,11414418,527.1590356951157,535.5183346896702,527.1590356951157,534.3309326171875,2793249
2020-01-15,1817.3425367206405,1831.6651056432152,1804.8723502901278,1826.8306884765625,1559491,609.2233645040944,609.9573909159484,603.3982113725496,608.2051391601562,11787448,448.80233377554384,451.1921136981169,444.500700194978,447.2250671386719,10875259,687.0672990416617,688.8790573291237,679.1938699492092,681.6990356445312,15817859,664.9441365008446,664.9441365008446,654.8907486678945,659.53076171875,6047430,533.855881828653,542.4051753098947,528.8213094854209,541.2177734375,2564513
2020-01-16,1827.1468621570773,1856.695632273982,1821.815402664098,1851.7708740234375,2468958,607.16334918936,611.4019374828233,605.8846272593686,609.8154296875,7150400,448.51550964853055,455.92385668642765,447.3684391300821,453.0083312988281,16290593,684.0029251254354,690.4224084594933,683.55552505049,687.9843139648438,12847975,662.2372213957256,663.7838918196021,653.2578689396148,659.0579223632812,5740586,540.7428672927184,541.2653125736072,535.8032634090343,539.0330200195312,2243200
2020-01-17,1856.9669237037754,1865.009173959998,1843.4576464107543,1861.7562255859375,994719,607.0211887708494,608.513001967246,602.3563603023184,605.3162841796875,16918814,454.15542663121045,481.5901933129002,454.15542663121045,478.0055236816406,61915666,694.9629812164561,709.0322217924195,694.8287791271389,707.2651977539062,29463471,662.2373957058855,664.1277944750946,654.9765756863783,659.7884521484375,3762957,538.4156010539172,545.2550488018594,536.848265056205,540.7904052734375,2646260
2020-01-20,1861.936919798415,1875.8527881483874,1852.4487675742541,1864.060546875,829399,617.9610470531414,617.9610470531414,593.1687365718038,594.3053588867188,22178450,477.0017888803566,490.09784722019873,472.4612073810165,486.274169921875,45298836,719.7911481994419,719.7911481994419,682.839761284159,685.5015258789062,32545850,663.0105542708876,665.4165444008263,655.5779244163876,660.3038940429688,3887680,540.5055019339816,545.2551109140693,536.0883423910499,538.795654296875,1847978
2020-01-21,1861.259018795527,1875.039429057273,1854.3913162556935,1857.328125,750000,591.9848038717975,591.9848038717975,586.4911964540704,589.3090209960938,14984804,487.5169123712778,492.2964721698591,482.1637578449721,489.18975830078125,65202963,683.8240435553602,691.5408742450458,680.8714775601642,686.1950073242188,18922720,660.3039963649677,662.0654839187372,653.687627373367,655.1913452148438,4448374,535.755896026035,536.6108488388033,522.5519597942267,525.1167602539062,3101684
